filename,width,height,class,xmin,ymin,xmax,ymax
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c0,182,293,227,334
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c1,225,294,266,334
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c2,264,292,313,336
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c3,312,294,359,338
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c11,360,293,411,338
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c6,409,292,448,338
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c7,447,292,490,339
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c8,485,293,537,338
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c9,535,293,580,337
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c10,578,290,627,338
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c11,622,288,682,338
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c12,679,289,736,349
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c13,733,292,780,346
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c14,777,289,827,349
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c15,822,292,869,353
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c16,183,387,235,439
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c17,235,389,290,439
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c18,290,388,351,438
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c19,351,388,395,435
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c20,394,388,440,437
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c22,439,388,485,434
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c23,481,389,516,435
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c24,513,394,563,436
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c25,560,391,606,433
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c26,601,378,648,433
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c27,644,387,687,434
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c28,684,384,726,432
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c29,723,389,776,436
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c30,771,380,820,431
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c31,818,389,865,434
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c32,231,489,273,528
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c33,271,487,314,528
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c34,312,487,349,528
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,v18,347,481,388,536
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c35,388,484,428,528
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,v19,426,485,468,543
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c36,469,483,504,531
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c37,500,485,554,534
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c38,554,486,602,529
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c39,601,485,648,529
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c40,644,485,690,527
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c41,688,485,737,530
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c42,737,488,773,527
Nura-eggplant-3_jpg.rf.063f4ec203e0bc70b69ed9a387d9753b.jpg,1080,1080,c43,771,486,813,527
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c0,47,204,71,224
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c1,87,202,107,222
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c2,119,204,143,222
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c3,158,203,180,221
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c4,195,202,219,221
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c5,237,203,262,222
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c6,279,205,299,221
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c7,314,205,335,221
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c8,351,201,376,219
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c9,392,197,417,220
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c10,423,197,451,220
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c11,463,206,492,226
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c12,505,208,535,230
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c13,547,207,571,230
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c14,584,207,606,230
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c15,621,207,647,231
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c16,662,205,688,225
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c17,707,206,736,225
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c18,750,207,778,225
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c19,795,207,818,223
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c20,833,207,853,222
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c21,871,208,893,224
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c22,910,208,933,224
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c23,50,269,70,287
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c24,83,270,109,287
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c25,123,270,147,286
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c26,162,262,187,288
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c27,202,270,222,288
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c28,239,262,260,288
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c29,277,272,299,287
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c30,319,264,342,288
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c31,357,275,377,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c32,395,275,413,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c33,436,275,458,289
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c34,471,274,490,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c35,505,273,530,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c36,545,274,563,289
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c37,580,266,603,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c38,619,274,643,291
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c39,658,267,684,291
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c40,694,276,717,292
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c41,734,268,762,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c42,773,275,794,292
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,c43,812,270,837,290
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v18,849,276,872,298
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v19,885,276,910,298
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v0,49,364,74,385
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v1,83,364,105,383
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v17,121,365,140,384
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v15,157,365,181,383
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v9,195,364,210,382
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v10,226,365,246,381
ST03021_bmp.rf.02f4609cbfa1915b57f0c98e49d52e6b.jpg,1080,1080,v11,265,360,282,381
